sample,time_s,raw_u16,code12,voltage_V
282,0.141009000,8610,538,0.433555
283,0.141509000,20629,1289,1.038768
284,0.142009000,40521,2532,2.040426
285,0.142508000,55837,3489,2.811659
286,0.143008000,58078,3629,2.924504
287,0.143508000,45643,2852,2.298343
288,0.144014000,26102,1631,1.314360
289,0.144514000,10770,673,0.542321
290,0.145013000,8546,534,0.430332
291,0.145513000,21045,1315,1.059716
292,0.146013000,40681,2542,2.048482
293,0.146513000,55853,3490,2.812465
294,0.147013000,58174,3635,2.929338
295,0.147512000,46235,2889,2.328153
296,0.148013000,25958,1622,1.307109
297,0.148512000,10754,672,0.541515
298,0.149012000,9330,583,0.469810
299,0.149512000,21045,1315,1.059716
300,0.150011000,40649,2540,2.046871
301,0.150511000,55869,3491,2.813270
302,0.151010000,58062,3628,2.923699
303,0.151510000,45803,2862,2.306400
304,0.152009000,26310,1644,1.324834
305,0.152509000,10946,684,0.551183
306,0.153009000,8770,548,0.441611
307,0.153509000,20837,1302,1.049242
308,0.154008000,40137,2508,2.021090
309,0.154508000,55933,3495,2.816493
310,0.155014000,57998,3624,2.920476
311,0.155513000,45691,2855,2.300760
312,0.156013000,26086,1630,1.313555
313,0.156513000,10738,671,0.540710
314,0.157013000,8610,538,0.433555
315,0.157513000,20837,1302,1.049242
316,0.158013000,40665,2541,2.047677
317,0.158513000,55901,3493,2.814882
318,0.159014000,57886,3617,2.914836
319,0.159513000,45499,2843,2.291092
320,0.160012000,26086,1630,1.313555
321,0.160512000,10530,658,0.530236
322,0.161012000,8674,542,0.436777
323,0.161511000,20965,1310,1.055688
324,0.162011000,40601,2537,2.044454
325,0.162511000,55837,3489,2.811659
326,0.163011000,58062,3628,2.923699
327,0.163510000,45771,2860,2.304788
328,0.164011000,26310,1644,1.324834
329,0.164511000,10850,678,0.546349
330,0.165011000,8722,545,0.439194
331,0.165510000,20981,1311,1.056494
332,0.166010000,40473,2529,2.038009
333,0.166509000,55885,3492,2.814076
334,0.167008000,58206,3637,2.930950
335,0.167508000,45883,2867,2.310428
336,0.168008000,26150,1634,1.316777
337,0.168508000,10850,678,0.546349
338,0.169008000,9010,563,0.453696
339,0.169508000,20661,1291,1.040380
340,0.170014000,40793,2549,2.054122
341,0.170514000,55709,3481,2.805214
342,0.171014000,57966,3622,2.918864
343,0.171513000,45659,2853,2.299148
344,0.172014000,26070,1629,1.312749
345,0.172513000,10514,657,0.529430
346,0.173013000,8017,501,0.403694
347,0.173513000,21173,1323,1.066162
348,0.174012000,40585,2536,2.043648
349,0.174512000,55965,3497,2.818105
350,0.175013000,57822,3613,2.911614
351,0.175512000,45787,2861,2.305594
352,0.176013000,26134,1633,1.315972
353,0.176512000,10594,662,0.533458
354,0.177012000,8658,541,0.435972
355,0.177511000,20837,1302,1.049242
356,0.178011000,40265,2516,2.027535
357,0.178511000,56637,3539,2.851943
358,0.179011000,58206,3637,2.930950
359,0.179511000,45803,2862,2.306400
360,0.180011000,26246,1640,1.321611
361,0.180510000,10738,671,0.540710
362,0.181010000,8482,530,0.427109
363,0.181509000,20885,1305,1.051659
364,0.182009000,40441,2527,2.036397
365,0.182509000,55837,3489,2.811659
366,0.183009000,58254,3640,2.933367
367,0.183509000,45867,2866,2.309622
368,0.184008000,25846,1615,1.301469
369,0.184514000,10866,679,0.547155
370,0.185014000,8706,544,0.438389
371,0.185513000,21029,1314,1.058910
372,0.186013000,40617,2538,2.045260
373,0.186512000,56045,3502,2.822133
374,0.187012000,58094,3630,2.925310
375,0.187511000,45755,2859,2.303983
376,0.188011000,26086,1630,1.313555
377,0.188510000,10722,670,0.539904
378,0.189010000,8594,537,0.432749
379,0.189510000,20837,1302,1.049242
380,0.190009000,40425,2526,2.035592
381,0.190509000,55885,3492,2.814076
382,0.191009000,58046,3627,2.922893
383,0.191509000,46011,2875,2.316874
384,0.192009000,26198,1637,1.319194
385,0.192509000,10866,679,0.547155
386,0.193009000,8834,552,0.444834
387,0.193509000,20933,1308,1.054076
388,0.194009000,40425,2526,2.035592
389,0.194508000,55805,3487,2.810048
390,0.195008000,58030,3626,2.922088
391,0.195514000,45627,2851,2.297537
392,0.196013000,25942,1621,1.306304
393,0.196513000,10850,678,0.546349
